invoice_id,job_id,invoice_amount,invoice_date,payment_status,invoice_notes
1,1,154,2025-12-13,Paid,Though ball simply.
2,2,3524,2025-10-24,Paid,Quite condition often after.
3,4,1377,2025-11-21,Paid,Light matter year agency foreign continue.
4,5,853,2026-02-20,Paid,Respond sign share.
5,6,2026,2025-09-21,Paid,Animal expert event place couple especially detail.
6,7,4622,2025-12-23,Paid,Civil part board top of him his deal.
7,9,3371,2025-10-14,Paid,Along behind hundred perform choice.
8,11,3264,2026-01-19,Paid,Act second heart why total wonder.
9,12,3621,2025-06-01,Pending,Leader up respond wear sign new still.
10,13,2864,2025-11-18,Paid,Avoid political wear name.
11,14,2936,2025-12-21,Paid,Off develop wife group often.
12,15,4548,2026-02-05,Paid,Own decide nice your big provide foreign open.
13,16,3507,2026-01-11,Pending,Admit responsibility season doctor actually practice skin.
14,17,2334,2026-02-14,Paid,Deal policy consider politics such pretty model place.
15,19,4852,2026-02-02,Paid,Where rate organization probably.
16,20,4677,2025-11-03,Paid,Hotel guy within keep surface.
17,21,2194,2025-10-15,Paid,Young security though reflect several.
18,22,1008,2025-07-31,Paid,Media require smile situation red cell arm.
19,23,1179,2025-04-17,Paid,Career tree discuss commercial.
20,24,2091,2026-02-21,Paid,Cold suggest yet.
21,26,814,2026-01-10,Paid,Describe body world rock spend either.
22,27,1247,2026-02-21,Paid,Though thought especially better now store nation.
23,28,3662,2025-10-05,Pending,Prove address design market raise.
24,29,4441,2026-02-07,Paid,Next it ask design simply approach.
25,30,4137,2025-11-28,Pending,Exist money commercial attack consumer spring American.
26,31,3680,2025-06-08,Paid,Billion perform send bit read.
27,32,1293,2026-01-28,Pending,Investment stock discussion democratic garden TV lot.
28,33,2464,2025-12-14,Pending,Business politics share.
29,34,4625,2026-02-12,Paid,How available both pull available.
30,35,3864,2025-09-24,Paid,Set least program town front civil major.
31,36,2567,2025-11-11,Paid,West best strong eight.
32,37,3160,2026-02-07,Paid,Degree card wide hit idea along subject.
33,40,623,2026-01-19,Paid,Card through challenge receive program professor themselves.
